state,age,Year,
New South Wales,9.4,2022,
New South Wales,9.5,2021,
New South Wales,9.8,2020,
New South Wales,9.6,2019,
New South Wales,9.8,2018,
New South Wales,10,2017,
New South Wales,10,2016,
New South Wales,10.3,2015,
New South Wales,10.7,2014,
New South Wales,11,2013,
Victoria,9.9,2022,
Victoria,10,2021,
Victoria,10.3,2020,
Victoria,10,2019,
Victoria,10.2,2018,
Victoria,10.3,2017,
Victoria,10.8,2016,
Victoria,11.3,2015,
Victoria,11.5,2014,
Victoria,12,2013,
Queensland,9.5,2022,
Queensland,9.5,2021,
Queensland,9.7,2020,
Queensland,9.8,2019,
Queensland,9.9,2018,
Queensland,9.9,2017,
Queensland,10,2016,
Queensland,10.4,2015,
Queensland,10.5,2014,
Queensland,10.7,2013,
South Australia,11.3,2022,
South Australia,11.5,2021,
South Australia,11.5,2020,
South Australia,11.8,2019,
South Australia,12,2018,
South Australia,12,2017,
South Australia,12.3,2016,
South Australia,12.5,2015,
South Australia,12.7,2014,
South Australia,12.9,2013,
Western Australia,10.4,2022,
Western Australia,10.7,2021,
Western Australia,11,2020,
Western Australia,10.8,2019,
Western Australia,11,2018,
Western Australia,11.4,2017,
Western Australia,11.5,2016,
Western Australia,11.8,2015,
Western Australia,12.3,2014,
Western Australia,12.5,2013,
Tasmania,12.6,2022,
Tasmania,12.8,2021,
Tasmania,12.9,2020,
Tasmania,13.2,2019,
Tasmania,13.3,2018,
Tasmania,13.5,2017,
Tasmania,13.6,2016,
Tasmania,13.8,2015,
Tasmania,13.9,2014,
Tasmania,14,2013,
Northern Territory,9.1,2022,
Northern Territory,9.4,2021,
Northern Territory,9.3,2020,
Northern Territory,9.6,2019,
Northern Territory,9.7,2018,
Northern Territory,9.9,2017,
Northern Territory,10.1,2016,
Northern Territory,10.2,2015,
Northern Territory,10.4,2014,
Northern Territory,10.8,2013,
Australian Capital Territory,9.3,2022,
Australian Capital Territory,9.5,2021,
Australian Capital Territory,9.6,2020,
Australian Capital Territory,9.9,2019,
Australian Capital Territory,10,2018,
Australian Capital Territory,10.1,2017,
Australian Capital Territory,10.2,2016,
Australian Capital Territory,10.3,2015,
Australian Capital Territory,10.5,2014,
Australian Capital Territory,10.6,2013,
